,booking_check_in,booking_check_out,listing_id,unit_id,property_id,property_type,property_design,area_id,usd
236,2019-05-18,2019-05-20,400290103,UN1730,PR0314,4.0,1.0,A0002,15.92
237,2019-06-25,2019-06-26,400290103,UN1730,PR0314,4.0,1.0,A0002,19.08
238,2019-08-02,2019-08-04,400290103,UN1730,PR0314,4.0,1.0,A0002,16.2
239,2019-05-26,2019-05-28,400290103,UN1730,PR0314,4.0,1.0,A0002,15.98
240,2019-05-26,2019-05-28,400290103,UN1730,PR0314,4.0,1.0,A0002,15.98
241,2019-07-08,2019-07-11,400290103,UN1730,PR0314,4.0,1.0,A0002,16.65
242,2020-01-04,2020-01-17,400290103,UN1730,PR0314,4.0,1.0,A0002,20.09
243,2019-12-05,2019-12-11,400290103,UN1730,PR0314,4.0,1.0,A0002,17.08
244,2019-12-13,2019-12-14,400290103,UN1730,PR0314,4.0,1.0,A0002,17.15
245,2019-03-27,2019-03-29,400290104,UN1724,PR0314,4.0,1.0,A0002,16.15
246,2019-07-10,2019-07-11,400290104,UN1724,PR0314,4.0,1.0,A0002,16.63
247,2019-01-15,2019-01-16,400290104,UN1724,PR0314,4.0,1.0,A0002,22.87
248,2019-08-25,2019-08-28,400290104,UN1724,PR0314,4.0,1.0,A0002,19.0
249,2019-08-25,2019-08-28,400290104,UN1724,PR0314,4.0,1.0,A0002,16.18
250,2019-03-03,2019-03-06,400290104,UN1724,PR0314,4.0,1.0,A0002,21.25
251,2019-08-21,2019-08-24,400290104,UN1724,PR0314,4.0,1.0,A0002,16.16
252,2019-03-16,2019-03-17,400290104,UN1724,PR0314,4.0,1.0,A0002,21.01
253,2019-04-20,2019-04-22,400290104,UN1724,PR0314,4.0,1.0,A0002,17.8
254,2019-01-17,2019-01-19,400290104,UN1724,PR0314,4.0,1.0,A0002,11.39
255,2019-01-26,2019-01-28,400290104,UN1724,PR0314,4.0,1.0,A0002,13.28
256,2019-07-03,2019-07-04,400290104,UN1724,PR0314,4.0,1.0,A0002,17.68
257,2019-08-28,2019-08-30,400290104,UN1724,PR0314,4.0,1.0,A0002,18.95
258,2019-09-21,2019-09-28,400290104,UN1724,PR0314,4.0,1.0,A0002,19.64
259,2019-07-21,2019-07-25,400290104,UN1724,PR0314,4.0,1.0,A0002,16.84
260,2019-08-14,2019-08-19,400290104,UN1724,PR0314,4.0,1.0,A0002,18.95
261,2019-09-02,2019-09-04,400290104,UN1724,PR0314,4.0,1.0,A0002,19.61
262,2019-09-01,2019-09-02,400290104,UN1724,PR0314,4.0,1.0,A0002,17.62
263,2019-09-04,2019-09-06,400290104,UN1724,PR0314,4.0,1.0,A0002,19.66
264,2019-07-19,2019-07-21,400290104,UN1724,PR0314,4.0,1.0,A0002,19.35
265,2019-08-24,2019-08-25,400290104,UN1724,PR0314,4.0,1.0,A0002,19.0
266,2019-07-26,2019-07-29,400290104,UN1724,PR0314,4.0,1.0,A0002,17.89
267,2019-07-29,2019-07-31,400290104,UN1724,PR0314,4.0,1.0,A0002,17.83
268,2019-06-26,2019-06-28,400290104,UN1724,PR0314,4.0,1.0,A0002,19.06
269,2019-08-08,2019-08-14,400290104,UN1724,PR0314,4.0,1.0,A0002,21.11
270,2019-09-06,2019-09-07,400290104,UN1724,PR0314,4.0,1.0,A0002,20.41
271,2019-08-18,2019-08-21,400290104,UN1724,PR0314,4.0,1.0,A0002,16.17
272,2019-09-28,2019-09-29,400290104,UN1724,PR0314,4.0,1.0,A0002,18.63
273,2019-05-26,2019-05-27,400290104,UN1724,PR0314,4.0,1.0,A0002,17.37
274,2019-08-06,2019-08-08,400290104,UN1724,PR0314,4.0,1.0,A0002,16.12
275,2019-05-02,2019-05-03,400290104,UN1724,PR0314,4.0,1.0,A0002,16.14
276,2019-07-07,2019-07-09,400290104,UN1724,PR0314,4.0,1.0,A0002,16.64
277,2019-08-01,2019-08-04,400290104,UN1724,PR0314,4.0,1.0,A0002,16.25
278,2019-06-30,2019-07-02,400290104,UN1724,PR0314,4.0,1.0,A0002,19.1
279,2019-12-22,2019-12-24,400290104,UN1724,PR0314,4.0,1.0,A0002,17.54
280,2019-03-26,2019-03-27,400290104,UN1724,PR0314,4.0,1.0,A0002,16.23
281,2019-04-26,2019-05-02,400290104,UN1724,PR0314,4.0,1.0,A0002,16.2
282,2019-03-17,2019-03-18,400290104,UN1724,PR0314,4.0,1.0,A0002,17.51
283,2019-04-22,2019-04-24,400290101,UN1729,PR0314,4.0,1.0,A0002,16.38
284,2019-07-10,2019-07-17,400290101,UN1729,PR0314,4.0,1.0,A0002,16.63
285,2019-02-21,2019-02-24,400290101,UN1729,PR0314,4.0,1.0,A0002,21.32
286,2019-04-13,2019-04-18,400290101,UN1729,PR0314,4.0,1.0,A0002,16.32
287,2019-01-16,2019-01-22,400290101,UN1729,PR0314,4.0,1.0,A0002,13.82
288,2019-03-16,2019-03-17,400290101,UN1729,PR0314,4.0,1.0,A0002,21.01
289,2019-04-11,2019-04-12,400290101,UN1729,PR0314,4.0,1.0,A0002,17.64
290,2019-01-17,2019-01-18,400290101,UN1729,PR0314,4.0,1.0,A0002,16.22
291,2019-08-17,2019-08-18,400290101,UN1729,PR0314,4.0,1.0,A0002,18.98
292,2019-06-24,2019-06-25,400290101,UN1729,PR0314,4.0,1.0,A0002,19.08
293,2019-06-24,2019-06-25,400290101,UN1729,PR0314,4.0,1.0,A0002,19.08
294,2019-07-06,2019-07-07,400290101,UN1729,PR0314,4.0,1.0,A0002,17.7
295,2019-08-29,2019-08-31,400290101,UN1729,PR0314,4.0,1.0,A0002,19.02
296,2019-09-10,2019-09-13,400290101,UN1729,PR0314,4.0,1.0,A0002,20.47
297,2019-10-03,2019-10-04,400290101,UN1729,PR0314,4.0,1.0,A0002,19.79
298,2019-12-08,2019-12-09,400290101,UN1729,PR0314,4.0,1.0,A0002,17.11
299,2019-09-27,2019-09-28,400290101,UN1729,PR0314,4.0,1.0,A0002,19.41
