,checkin_day,checkin_month,checkin_year,checkout_day,checkout_month,checkout_year,listing_id,unit_id,property_id,area_id,type_1.0,type_2.0,type_3.0,type_4.0,type_5.0,design_0.0,design_1.0,design_2.0,design_3.0,design_4.0,design_5.0,usd
219,4,2,2019,6,2,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,25.33
220,28,8,2019,7,9,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,18.11
221,29,8,2019,31,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.02
222,29,8,2019,31,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.02
223,7,9,2019,9,9,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.75
224,21,10,2019,23,10,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.91
225,26,9,2019,29,9,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,20.29
226,10,9,2019,12,9,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,20.47
227,15,12,2019,17,12,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.35
228,5,8,2019,10,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.07
229,20,8,2019,21,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.13
230,19,7,2019,20,7,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.92
231,2,7,2019,5,7,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.1
232,20,12,2019,22,12,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.47
233,15,7,2019,19,7,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.37
234,1,7,2019,2,7,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.13
235,1,7,2019,6,7,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,21.26
236,18,5,2019,20,5,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.92
237,25,6,2019,26,6,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,19.08
238,2,8,2019,4,8,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.2
239,26,5,2019,28,5,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.98
240,26,5,2019,28,5,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.98
241,8,7,2019,11,7,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.65
242,4,1,2020,17,1,2020,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,20.09
243,5,12,2019,11,12,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.08
244,13,12,2019,14,12,2019,7,3,1,1,0,0,0,1,0,0,1,0,0,0,0,17.15
245,27,3,2019,29,3,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.15
246,10,7,2019,11,7,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.63
247,15,1,2019,16,1,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,22.87
248,25,8,2019,28,8,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,19.0
249,25,8,2019,28,8,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.18
250,3,3,2019,6,3,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,21.25
251,21,8,2019,24,8,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.16
252,16,3,2019,17,3,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,21.01
253,20,4,2019,22,4,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,17.8
254,17,1,2019,19,1,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,11.39
255,26,1,2019,28,1,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,13.28
256,3,7,2019,4,7,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,17.68
257,28,8,2019,30,8,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,18.95
258,21,9,2019,28,9,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,19.64
259,21,7,2019,25,7,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,16.84
260,14,8,2019,19,8,2019,8,4,1,1,0,0,0,1,0,0,1,0,0,0,0,18.95
